fold,mse,rmse,mae,r2
1,0.10922470806859948,0.3304916157311702,0.24990003502427247,0.8682709117225744
2,0.11568256931772093,0.34012140379241196,0.24952217949038405,0.8739409641055235
3,0.14400476760067518,0.3794796010336724,0.2889512915568043,0.8653987738549241
4,0.10601228270908855,0.32559527439612596,0.24313165827712377,0.8362189551796511
5,0.1769213533906335,0.4206202008827364,0.2881600476670325,0.8186491365223818
