model,mse,rmse,mae,r2,mse_difference_vs_best_ridge,mse_change_percent_vs_best_ridge
Weighted Blend,0.1765936860059972,0.4202305153198625,0.2870096989812513,0.8189850075859839,-0.00032766738463629874,-0.18520510857320063
Best Ridge,0.1769213533906335,0.4206202008827364,0.2881600476670325,0.8186491365223818,0.0,0.0
Stacking,0.1789564544679356,0.4230324508450098,0.2904751455516313,0.8165630834227421,0.0020351010773020928,1.150285727697714
Best XGBoost,0.1968092075487563,0.4436318378438999,0.3031610572903404,0.7982633580102247,0.019887854158122803,11.241070553090001
