fold,mse,mae,r2,rmse
1,0.10682072550491951,0.25231025549407315,0.8711702047209087,0.3268344007367026
2,0.13352147782716497,0.2617423583911915,0.8545019455794558,0.3654059083090543
3,0.15617858840349558,0.29627976801274386,0.8540199060977542,0.3951943678792697
4,0.11902176720976022,0.2662115881597014,0.8161202750112305,0.3449953147649403
5,0.17909289757909758,0.2916646122661284,0.8164232242392655,0.42319368801897034
