model,mse_mean,mse_std,rmse_mean,mae_mean,r2_mean
Best Ridge,0.13036913621734347,0.030037800222504393,0.3592616191672234,0.2639330424031234,0.8524957482770109
Ridge,0.1305716312260145,0.030033917189913065,0.35953885257441853,0.2643128806291228,0.8523057246546134
Best XGBoost,0.14983440587129643,0.02743790648960941,0.3858391047490324,0.2888218562982709,0.8260738324080865
XGBoost,0.154233508042988,0.026862617663509187,0.39151770275692,0.29524073475520674,0.8202821417813707
GBDT,0.15496876007871593,0.024308257531654734,0.39272177269172676,0.29640134251350536,0.8207494239753288
LightGBM,0.1570484859343837,0.02844797624768216,0.39496346042698616,0.29897818133500936,0.8185607592739104
Random Forest,0.1596009036828505,0.029822539298993325,0.39807638382460764,0.29970656548856545,0.8163916047610156
