ridge_weight,xgb_weight,mse
0.0,1.0,0.1522528077908569
0.05,0.95,0.14867543270928027
0.1,0.9,0.14535944620695646
0.15000000000000002,0.85,0.1423048482838853
0.2,0.8,0.1395116389400669
0.25,0.75,0.13697981817550123
0.30000000000000004,0.7,0.13470938599018828
0.35000000000000003,0.6499999999999999,0.13270034238412803
0.4,0.6,0.13095268735732055
0.45,0.55,0.12946642090976582
0.5,0.5,0.1282415430414638
0.55,0.44999999999999996,0.1272780537524145
0.6000000000000001,0.3999999999999999,0.1265759530426179
0.65,0.35,0.12613524091207404
0.7000000000000001,0.29999999999999993,0.12595591736078293
0.75,0.25,0.12603798238874456
0.8,0.19999999999999996,0.12638143599595886
0.8500000000000001,0.1499999999999999,0.12698627818242594
0.9,0.09999999999999998,0.12785250894814576
0.9500000000000001,0.04999999999999993,0.12898012829311828
1.0,0.0,0.13036913621734353
