model,mse_mean,rmse_mean,mae_mean,r2_mean
Ridge,0.13057163122601453,0.3595388525744186,0.26431288062912284,0.8523057246546134
XGBoost,0.15423350804298802,0.39151770275692005,0.29524073475520674,0.8202821417813707
GBDT,0.15496876007871596,0.3927217726917268,0.2964013425135054,0.8207494239753288
LightGBM,0.15704848593438375,0.39496346042698627,0.29897818133500936,0.8185607592739104
Random Forest,0.15960090368285051,0.39807638382460775,0.29970656548856545,0.8163916047610156
