model,mse_mean,rmse_mean,mae_mean,r2_mean,mse_std
Ridge,0.1305716312260145,0.3595388525744186,0.2643128806291228,0.8523057246546134,0.030033917189913065
KBest20 + Ridge,0.1389270913048876,0.3711247359417874,0.2736417164647676,0.8424471111297229,0.029013649611366515
PCA95 + Ridge,0.1680885873645775,0.4084747756944561,0.3116359104908274,0.8074085791816566,0.03213016823764778
