model,mse_mean,rmse_mean,mae_mean,r2_mean
Ridge,0.13057163122601453,0.3595388525744186,0.26431288062912284,0.8523057246546134
Best Ridge,0.13036913621734353,0.35926161916722343,0.26393304240312343,0.8524957482770109
XGBoost,0.15423350804298802,0.39151770275692005,0.29524073475520674,0.8202821417813707
Best XGBoost,0.14983440587129646,0.3858391047490324,0.28882185629827095,0.8260738324080865
