fold,mse,mae,r2,rmse
1,0.12239532680216181,0.27678929706238087,0.8523866523045306,0.34985043490349105
2,0.1328698346568123,0.26501501892854823,0.8552120396782155,0.36451314744027036
3,0.155049877265321,0.30466570835763473,0.8550749121624368,0.39376373279584925
4,0.17576049322804554,0.3371188011867093,0.7284631885720041,0.41923799115543614
5,0.18509200826259947,0.2926148482407607,0.810273916189667,0.43022320748955356
