model,mse_mean,rmse_mean,mae_mean,r2_mean
Ridge,0.13057163122601453,0.3595388525744186,0.26431288062912284,0.8523057246546134
KBest20 + Ridge,0.1389270913048876,0.37112473594178746,0.27364171646476765,0.8424471111297229
PCA95 + Ridge,0.1680885873645775,0.4084747756944561,0.3116359104908274,0.8074085791816566
