fold,mse,mae,r2,rmse
1,0.12859515248560183,0.2837678675492393,0.8449094303535634,0.3586016626921881
2,0.12470331794142081,0.2518258978376425,0.8641110745961811,0.3531335695475875
3,0.14356097193410786,0.29131233750816177,0.8658135895716057,0.37889440736715535
4,0.16028748958223307,0.3178989171858532,0.7523678214962319,0.400359200696366
5,0.19202509741311882,0.29930426141045785,0.8031672460228507,0.4382066834418649
