fold,mse,mae,r2,rmse
1,0.129216685679231,0.2848683946134341,0.8441598380463035,0.3594672247635812
2,0.1388079706848145,0.27075491572540933,0.8487412661890452,0.37256941726987536
3,0.15369613906619783,0.3054183962603143,0.8563402509739036,0.39204099156363464
4,0.16066948445392326,0.3217379468703005,0.7517776680007817,0.4008359819850549
5,0.19245352050941322,0.2992270590980688,0.8027280966666099,0.43869524787648795
