model,mse,rmse,mae,r2
Weighted Blend,0.17659368600599726,0.42023051531986255,0.2870096989812513,0.8189850075859839
Best Ridge,0.1769213533906335,0.4206202008827364,0.2881600476670325,0.8186491365223818
Stacking,0.17895645446793568,0.42303245084500984,0.2904751455516313,0.8165630834227421
Best XGBoost,0.1968092075487563,0.4436318378438999,0.3031610572903404,0.7982633580102247
